Date,ALI=F,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2022-03-30,3553.5,113.44999694824219,2651.0,107.81999969482422,139.83999633789062,1933.5,155.97500610351562,104.5250015258789,4.739500045776367,3.808500051498413,221.85000610351562,140.1750030517578,5.605000019073486,148.14999389648438,2243.0,996.7999877929688,3.325000047683716,19.469999313354492,25.10300064086914,150.61000061035156,738.0,1664.0,1027.25
2022-03-31,3500.0,107.91000366210938,2650.0,100.27999877929688,135.69000244140625,1949.199951171875,155.89999389648438,101.75,4.743000030517578,3.691200017929077,226.39999389648438,139.375,5.642000198364258,151.9499969482422,2255.5,992.5,3.1895999908447266,19.489999771118164,25.121000289916992,150.83999633789062,748.75,1618.25,1006.0
2022-04-01,3466.5,104.38999938964844,2599.0,99.2699966430664,134.5500030517578,1919.0999755859375,161.5749969482422,101.30000305175781,4.682499885559082,3.4240000247955322,228.39999389648438,138.64999389648438,5.71999979019165,157.5500030517578,2267.39990234375,985.0,3.1535000801086426,19.3700008392334,24.642000198364258,159.85000610351562,735.0,1582.75,984.5
2022-04-04,3441.5,107.52999877929688,2562.0,103.27999877929688,137.94000244140625,1929.199951171875,158.375,99.44999694824219,4.776500225067139,3.546099901199341,230.60000610351562,138.0,5.711999893188477,159.1999969482422,2274.89990234375,986.5,3.1981000900268555,19.610000610351562,24.583999633789062,161.83999633789062,750.5,1602.25,1010.25
2022-04-05,3430.5,106.63999938964844,2534.0,101.95999908447266,137.52999877929688,1922.9000244140625,156.125,97.67500305175781,4.790999889373779,3.4681999683380127,231.3000030517578,136.8000030517578,6.0320000648498535,160.25,2235.199951171875,969.4000244140625,3.164900064468384,19.649999618530273,24.527999877929688,161.25,759.75,1631.0,1045.25
2022-04-06,3405.0,101.06999969482422,2549.0,96.2300033569336,135.69000244140625,1918.4000244140625,157.10000610351562,98.75,4.733500003814697,3.3452000617980957,227.60000610351562,137.6999969482422,6.0289998054504395,159.5500030517578,2184.60009765625,950.0999755859375,3.0462000370025635,19.59000015258789,24.454999923706055,160.0800018310547,756.5,1619.5,1038.25
2022-04-07,3352.75,100.58000183105469,2574.0,96.02999877929688,133.1999969482422,1933.800048828125,156.39999389648438,99.05000305175781,4.695000171661377,3.2678000926971436,226.14999389648438,138.0,6.359000205993652,163.0500030517578,2223.0,954.9000244140625,3.039799928665161,19.84000015258789,24.732999801635742,157.2899932861328,757.75,1645.5,1020.0
2022-04-08,3340.75,102.77999877929688,2620.0,98.26000213623047,132.41000366210938,1941.5999755859375,156.5500030517578,99.0250015258789,4.71999979019165,3.3176000118255615,231.64999389648438,137.8249969482422,6.2779998779296875,167.5500030517578,2420.0,972.2000122070312,3.1315999031066895,20.40999984741211,24.819000244140625,154.2100067138672,768.75,1689.0,1051.5
2022-04-11,3209.75,98.4800033569336,2616.0,94.29000091552734,135.2899932861328,1944.300048828125,156.64999389648438,98.42500305175781,4.628499984741211,3.267699956893921,236.60000610351562,138.52499389648438,6.64300012588501,173.9499969482422,2416.39990234375,973.9000244140625,3.0030999183654785,20.309999465942383,24.97800064086914,155.94000244140625,764.5,1655.25,1081.25
2022-04-12,3229.5,104.63999938964844,2583.0,100.5999984741211,138.50999450683594,1972.0999755859375,157.75,99.625,4.703999996185303,3.464400053024292,233.60000610351562,139.9499969482422,6.679999828338623,172.10000610351562,2353.699951171875,969.0,3.1538000106811523,20.219999313354492,25.725000381469727,155.55999755859375,776.25,1670.25,1103.75
2022-04-13,3206.75,108.77999877929688,2583.0,104.25,142.77000427246094,1981.0,158.5500030517578,99.9000015258789,4.706999778747559,3.718400001525879,225.0500030517578,140.625,6.997000217437744,182.10000610351562,2338.800048828125,985.2000122070312,3.291300058364868,20.100000381469727,26.020000457763672,154.6699981689453,783.5,1676.0,1113.5
2022-04-14,3250.5,111.69999694824219,2583.0,106.94999694824219,141.97999572753906,1970.9000244140625,158.1999969482422,99.875,4.7170000076293945,3.85479998588562,223.60000610351562,140.6750030517578,7.300000190734863,181.0500030517578,2354.300048828125,989.5999755859375,3.3814001083374023,20.059999465942383,25.690000534057617,155.69000244140625,790.25,1682.25,1096.5
2022-04-18,3250.5,113.16000366210938,2525.0,108.20999908447266,144.74000549316406,1982.9000244140625,155.77499389648438,116.5250015258789,4.796000003814697,3.8907999992370605,223.5,140.47500610351562,7.820000171661377,191.0,2444.0,1015.4000244140625,3.3780999183654785,20.260000228881836,26.139999389648438,155.6199951171875,813.25,1714.75,1120.5
2022-04-19,3212.5,107.25,2525.0,102.55999755859375,139.67999267578125,1955.699951171875,156.64999389648438,114.69999694824219,4.714000225067139,3.8619000911712646,221.3000030517578,141.35000610351562,7.176000118255615,171.89999389648438,2379.300048828125,984.4000244140625,3.2474000453948975,19.739999771118164,25.391000747680664,154.5800018310547,804.0,1716.5,1099.0
2022-04-20,3237.5,106.80000305175781,2536.0,102.75,140.38999938964844,1952.300048828125,157.5,112.4749984741211,4.649499893188477,3.973099946975708,218.8000030517578,143.0749969482422,6.936999797821045,169.35000610351562,2458.800048828125,982.7999877929688,3.2848000526428223,19.6200008392334,25.270000457763672,154.41000366210938,815.75,1746.75,1088.0
2022-04-21,3264.0,108.33000183105469,2540.0,103.79000091552734,138.58999633789062,1944.9000244140625,158.4499969482422,110.8499984741211,4.703499794006348,3.9007999897003174,228.14999389648438,144.10000610351562,6.956999778747559,173.0,2416.89990234375,965.2999877929688,3.338599920272827,19.8700008392334,24.621000289916992,154.27000427246094,799.25,1748.25,1068.0
2022-04-22,3203.0,106.6500015258789,2506.0,102.06999969482422,139.4600067138672,1931.0,157.9499969482422,111.8499984741211,4.582499980926514,3.9386000633239746,227.3000030517578,142.4499969482422,6.533999919891357,179.64999389648438,2373.0,925.0999755859375,3.305000066757202,19.239999771118164,24.256999969482422,154.1300048828125,793.0,1716.0,1065.5
2022-04-25,3054.5,102.31999969482422,2432.0,98.54000091552734,141.41000366210938,1893.199951171875,156.5500030517578,107.80000305175781,4.448999881744385,4.09089994430542,220.8000030517578,139.10000610351562,6.669000148773193,173.6999969482422,2116.39990234375,902.2999877929688,3.239799976348877,18.950000762939453,23.667999267578125,152.47000122070312,800.25,1703.5,1062.0
2022-04-26,3040.25,104.98999786376953,2557.0,101.69999694824219,142.52999877929688,1901.4000244140625,156.1999969482422,105.19999694824219,4.440000057220459,4.467899799346924,221.39999389648438,140.0,6.849999904632568,168.0,2172.89990234375,911.9000244140625,3.3387999534606934,18.989999771118164,23.54199981689453,152.0800018310547,803.25,1705.25,1083.25
2022-04-27,3066.5,105.31999969482422,2572.0,102.0199966430664,146.0800018310547,1885.9000244140625,156.1999969482422,104.17500305175781,4.454500198364258,4.674300193786621,215.9499969482422,138.5,7.267000198364258,171.1999969482422,2190.39990234375,910.0999755859375,3.4560000896453857,19.020000457763672,23.45800018310547,151.6199951171875,815.5,1726.5,1080.0
2022-04-28,2997.75,107.58999633789062,2601.0,105.36000061035156,153.0800018310547,1888.699951171875,155.9250030517578,103.9749984741211,4.41349983215332,5.13539981842041,217.89999389648438,138.5,6.888000011444092,172.89999389648438,2208.60009765625,910.4000244140625,3.5034000873565674,19.420000076293945,23.128999710083008,151.19000244140625,816.0,1706.5,1074.0
