Date,AGG
2016-09-28,87.49183654785156
2016-09-29,87.49183654785156
2016-09-30,87.3985595703125
2016-10-03,87.29963684082031
2016-10-04,87.00367736816406
2016-10-05,86.88687896728516
2016-10-06,86.88687896728516
2016-10-07,86.90239715576172
2016-10-10,86.86351013183594
2016-10-11,86.73104095458984
2016-10-12,86.76223754882812
2016-10-13,86.88687896728516
2016-10-14,86.73889923095703
2016-10-17,86.88687896728516
2016-10-18,87.02703857421875
2016-10-19,87.07378387451172
2016-10-20,87.04266357421875
2016-10-21,87.09715270996094
2016-10-24,86.96471405029297
2016-10-25,86.96471405029297
2016-10-26,86.79339599609375
2016-10-27,86.57532501220703
2016-10-28,86.57532501220703
2016-10-31,86.68437194824219
2016-11-01,86.63752746582031
2016-11-02,86.73896789550781
2016-11-03,86.62194061279297
